Abbreviation,Year,RoundNumber,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag
BOT,2023,14,Italian,14.0,1.646,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
LAW,2023,14,Italian,12.0,1.464,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
PIA,2023,14,Italian,7.0,0.491,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
SAR,2023,14,Italian,15.0,1.65,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
ZHO,2023,14,Italian,16.0,2.096,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
GAS,2023,14,Italian,17.0,2.251,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
STR,2023,14,Italian,20.0,2.566,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
HUL,2023,14,Italian,13.0,1.482,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
MAG,2023,14,Italian,19.0,2.298,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
OCO,2023,14,Italian,18.0,2.254,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
TSU,2023,14,Italian,11.0,1.3,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
SAI,2023,15,Singapore,1.0,0.0,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
NOR,2023,15,Singapore,4.0,0.286,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
HAM,2023,15,Singapore,5.0,0.501,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
LEC,2023,15,Singapore,3.0,0.079,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
VER,2023,15,Singapore,11.0,1.189,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
GAS,2023,15,Singapore,12.0,1.29,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
PIA,2023,15,Singapore,17.0,1.918,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
PER,2023,15,Singapore,13.0,1.326,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
LAW,2023,15,Singapore,10.0,1.284,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
MAG,2023,15,Singapore,6.0,0.591,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
ALB,2023,15,Singapore,14.0,2.735,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
ZHO,2023,15,Singapore,19.0,2.274,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
HUL,2023,15,Singapore,9.0,0.824,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
SAR,2023,15,Singapore,18.0,2.268,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
ALO,2023,15,Singapore,7.0,0.631,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
RUS,2023,15,Singapore,2.0,0.072,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
BOT,2023,15,Singapore,16.0,1.825,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
OCO,2023,15,Singapore,8.0,0.689,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
TSU,2023,15,Singapore,15.0,1.007,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
STR,2023,15,Singapore,,2.413,19,4751.96,62.0,36.42,29.84,0.0,True,True,False
VER,2023,16,Japanese,1.0,0.0,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
NOR,2023,16,Japanese,3.0,0.616,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
PIA,2023,16,Japanese,2.0,0.581,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
LEC,2023,16,Japanese,4.0,0.665,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
HAM,2023,16,Japanese,7.0,1.031,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
SAI,2023,16,Japanese,6.0,0.973,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
RUS,2023,16,Japanese,8.0,1.342,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
ALO,2023,16,Japanese,10.0,1.683,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
OCO,2023,16,Japanese,14.0,1.709,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
GAS,2023,16,Japanese,12.0,1.632,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
LAW,2023,16,Japanese,11.0,1.631,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
TSU,2023,16,Japanese,9.0,1.426,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
ZHO,2023,16,Japanese,19.0,2.521,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
HUL,2023,16,Japanese,18.0,2.422,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
MAG,2023,16,Japanese,15.0,1.788,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
ALB,2023,16,Japanese,13.0,1.66,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
SAR,2023,16,Japanese,20.0,3.025,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
STR,2023,16,Japanese,17.0,2.304,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
PER,2023,16,Japanese,5.0,0.773,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
BOT,2023,16,Japanese,16.0,2.172,18,5582.53,53.0,42.07,27.29,0.0,True,True,False
VER,2023,17,Qatar,1.0,0.0,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
PIA,2023,17,Qatar,6.0,0.762,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
NOR,2023,17,Qatar,10.0,0.907,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
RUS,2023,17,Qatar,2.0,0.441,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
LEC,2023,17,Qatar,5.0,0.646,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
ALO,2023,17,Qatar,4.0,0.591,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
OCO,2023,17,Qatar,8.0,0.985,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
BOT,2023,17,Qatar,9.0,1.28,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
ZHO,2023,17,Qatar,19.0,3.654,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
PER,2023,17,Qatar,20.0,1.684,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
STR,2023,17,Qatar,16.0,2.567,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
GAS,2023,17,Qatar,7.0,0.775,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
ALB,2023,17,Qatar,13.0,1.929,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
MAG,2023,17,Qatar,18.0,3.268,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
TSU,2023,17,Qatar,11.0,1.523,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
HUL,2023,17,Qatar,14.0,2.005,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
LAW,2023,17,Qatar,17.0,2.857,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
SAR,2023,17,Qatar,15.0,2.432,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
HAM,2023,17,Qatar,3.0,0.527,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
SAI,2023,17,Qatar,12.0,1.55,16,4935.1,57.0,36.93,31.46,0.0,True,False,False
VER,2023,18,United States,6.0,0.358,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
NOR,2023,18,United States,2.0,0.13,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
SAI,2023,18,United States,4.0,0.222,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
PER,2023,18,United States,9.0,0.45,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
RUS,2023,18,United States,5.0,0.356,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
GAS,2023,18,United States,7.0,0.366,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
STR,2023,18,United States,20.0,1.866,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
TSU,2023,18,United States,11.0,0.974,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
ALB,2023,18,United States,15.0,1.592,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
SAR,2023,18,United States,16.0,2.104,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
HUL,2023,18,United States,18.0,1.512,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
BOT,2023,18,United States,13.0,1.135,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
ZHO,2023,18,United States,12.0,0.975,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
MAG,2023,18,United States,17.0,1.157,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
RIC,2023,18,United States,14.0,1.251,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
ALO,2023,18,United States,19.0,1.545,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
PIA,2023,18,United States,10.0,0.744,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
OCO,2023,18,United States,8.0,0.431,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
HAM,2023,18,United States,3.0,0.139,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
LEC,2023,18,United States,1.0,0.0,20,5291.67,56.0,40.63,29.96,0.0,False,False,False
VER,2023,19,Mexico City,3.0,0.097,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
HAM,2023,19,Mexico City,6.0,0.288,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
LEC,2023,19,Mexico City,1.0,0.0,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
SAI,2023,19,Mexico City,2.0,0.067,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
NOR,2023,19,Mexico City,17.0,4.388,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
RUS,2023,19,Mexico City,8.0,0.508,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
RIC,2023,19,Mexico City,4.0,0.216,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
PIA,2023,19,Mexico City,7.0,0.457,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
ALB,2023,19,Mexico City,14.0,1.981,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
OCO,2023,19,Mexico City,15.0,1.914,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
GAS,2023,19,Mexico City,11.0,1.355,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
TSU,2023,19,Mexico City,18.0,1.724,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
HUL,2023,19,Mexico City,12.0,1.358,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
ZHO,2023,19,Mexico City,10.0,0.884,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
BOT,2023,19,Mexico City,9.0,0.866,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
SAR,2023,19,Mexico City,19.0,5.266,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
STR,2023,19,Mexico City,0.0,2.061,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
ALO,2023,19,Mexico City,13.0,1.572,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
MAG,2023,19,Mexico City,16.0,1.997,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
PER,2023,19,Mexico City,5.0,0.257,17,4045.59,71.0,45.64,25.55,0.0,True,True,True
VER,2023,20,São Paulo,1.0,0.0,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
NOR,2023,20,São Paulo,6.0,1.26,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
ALO,2023,20,São Paulo,4.0,0.66,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
PER,2023,20,São Paulo,9.0,1.594,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
STR,2023,20,São Paulo,3.0,0.617,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
SAI,2023,20,São Paulo,7.0,1.262,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
GAS,2023,20,São Paulo,15.0,-0.16,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
HAM,2023,20,São Paulo,5.0,0.742,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
TSU,2023,20,São Paulo,16.0,0.11,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
OCO,2023,20,São Paulo,14.0,-0.165,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
SAR,2023,20,São Paulo,19.0,0.308,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
HUL,2023,20,São Paulo,11.0,-0.18,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
RIC,2023,20,São Paulo,17.0,0.116,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
PIA,2023,20,São Paulo,10.0,-0.397,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
RUS,2023,20,São Paulo,8.0,0.863,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
BOT,2023,20,São Paulo,18.0,0.228,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
ZHO,2023,20,São Paulo,20.0,0.548,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
MAG,2023,20,São Paulo,12.0,-0.004,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
ALB,2023,20,São Paulo,13.0,0.113,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
LEC,2023,20,São Paulo,2.0,0.294,15,3997.71,71.0,46.78,20.46,0.01,True,False,True
VER,2023,21,Las Vegas,2.0,0.378,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
LEC,2023,21,Las Vegas,1.0,0.0,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
PER,2023,21,Las Vegas,11.0,1.129,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
OCO,2023,21,Las Vegas,16.0,2.108,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
STR,2023,21,Las Vegas,19.0,1.473,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
SAI,2023,21,Las Vegas,12.0,0.044,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
HAM,2023,21,Las Vegas,10.0,1.111,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
RUS,2023,21,Las Vegas,3.0,0.386,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
ALO,2023,21,Las Vegas,9.0,0.829,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
PIA,2023,21,Las Vegas,18.0,2.124,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
GAS,2023,21,Las Vegas,4.0,0.513,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
ALB,2023,21,Las Vegas,5.0,0.597,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
MAG,2023,21,Las Vegas,8.0,0.811,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
RIC,2023,21,Las Vegas,14.0,1.582,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
ZHO,2023,21,Las Vegas,17.0,2.123,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
SAR,2023,21,Las Vegas,6.0,0.787,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
BOT,2023,21,Las Vegas,7.0,0.799,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
TSU,2023,21,Las Vegas,20.0,3.721,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
HUL,2023,21,Las Vegas,13.0,1.253,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
NOR,2023,21,Las Vegas,15.0,1.977,17,5981.34,50.0,17.99,18.05,0.0,True,True,False
VER,2023,22,Abu Dhabi,1.0,0.0,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
LEC,2023,22,Abu Dhabi,2.0,0.139,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
RUS,2023,22,Abu Dhabi,4.0,0.343,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
PER,2023,22,Abu Dhabi,9.0,0.726,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
NOR,2023,22,Abu Dhabi,5.0,0.371,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
PIA,2023,22,Abu Dhabi,3.0,0.337,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
ALO,2023,22,Abu Dhabi,7.0,0.639,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
TSU,2023,22,Abu Dhabi,6.0,0.523,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
HAM,2023,22,Abu Dhabi,11.0,0.914,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
STR,2023,22,Abu Dhabi,13.0,0.977,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
RIC,2023,22,Abu Dhabi,15.0,0.997,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
OCO,2023,22,Abu Dhabi,12.0,0.946,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
GAS,2023,22,Abu Dhabi,10.0,1.103,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
ALB,2023,22,Abu Dhabi,14.0,0.994,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
HUL,2023,22,Abu Dhabi,8.0,0.663,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
SAR,2023,22,Abu Dhabi,20.0,2.057,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
ZHO,2023,22,Abu Dhabi,19.0,1.714,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
SAI,2023,22,Abu Dhabi,16.0,1.293,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
BOT,2023,22,Abu Dhabi,18.0,1.343,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
MAG,2023,22,Abu Dhabi,17.0,1.319,16,5040.39,58.0,33.46,26.96,0.0,False,False,False
VER,2024,1,Bahrain,1.0,0.0,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
PER,2024,1,Bahrain,5.0,0.358,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
SAI,2024,1,Bahrain,4.0,0.328,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
LEC,2024,1,Bahrain,2.0,0.228,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
RUS,2024,1,Bahrain,3.0,0.306,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
NOR,2024,1,Bahrain,7.0,0.435,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
HAM,2024,1,Bahrain,9.0,0.531,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
PIA,2024,1,Bahrain,8.0,0.504,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
ALO,2024,1,Bahrain,6.0,0.363,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
STR,2024,1,Bahrain,12.0,1.021,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
ZHO,2024,1,Bahrain,17.0,1.578,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
MAG,2024,1,Bahrain,15.0,1.35,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
RIC,2024,1,Bahrain,14.0,1.099,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
TSU,2024,1,Bahrain,11.0,0.95,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
ALB,2024,1,Bahrain,13.0,1.042,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
HUL,2024,1,Bahrain,10.0,1.323,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
OCO,2024,1,Bahrain,19.0,1.614,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
GAS,2024,1,Bahrain,20.0,1.769,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
BOT,2024,1,Bahrain,16.0,1.577,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
SAR,2024,1,Bahrain,18.0,1.591,15,4967.06,57.0,23.65,18.23,0.0,False,False,False
VER,2024,2,Saudi Arabian,1.0,0.0,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
PER,2024,2,Saudi Arabian,3.0,0.335,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
LEC,2024,2,Saudi Arabian,2.0,0.319,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
PIA,2024,2,Saudi Arabian,5.0,0.617,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
ALO,2024,2,Saudi Arabian,4.0,0.374,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
RUS,2024,2,Saudi Arabian,7.0,0.844,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
BEA,2024,2,Saudi Arabian,11.0,1.17,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
NOR,2024,2,Saudi Arabian,6.0,0.66,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
HAM,2024,2,Saudi Arabian,8.0,0.988,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
HUL,2024,2,Saudi Arabian,15.0,1.583,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
ALB,2024,2,Saudi Arabian,12.0,1.508,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
MAG,2024,2,Saudi Arabian,13.0,1.548,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
OCO,2024,2,Saudi Arabian,17.0,2.003,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
SAR,2024,2,Saudi Arabian,19.0,2.054,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
TSU,2024,2,Saudi Arabian,9.0,1.075,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
RIC,2024,2,Saudi Arabian,14.0,1.553,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
BOT,2024,2,Saudi Arabian,16.0,1.707,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
ZHO,2024,2,Saudi Arabian,20.0,2.465,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
STR,2024,2,Saudi Arabian,10.0,1.1,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
GAS,2024,2,Saudi Arabian,18.0,2.007,27,5472.64,50.0,31.59,25.53,0.0,True,False,False
SAI,2024,3,Australian,2.0,0.27,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
LEC,2024,3,Australian,4.0,0.52,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
NOR,2024,3,Australian,3.0,0.4,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
PIA,2024,3,Australian,5.0,0.657,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
PER,2024,3,Australian,6.0,0.359,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
STR,2024,3,Australian,9.0,1.157,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
TSU,2024,3,Australian,8.0,0.873,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
ALO,2024,3,Australian,10.0,1.637,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
HUL,2024,3,Australian,16.0,2.061,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
MAG,2024,3,Australian,14.0,1.512,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
ALB,2024,3,Australian,12.0,1.252,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
RIC,2024,3,Australian,18.0,2.17,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
GAS,2024,3,Australian,17.0,2.067,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
BOT,2024,3,Australian,13.0,1.425,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
ZHO,2024,3,Australian,19.0,2.273,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
OCO,2024,3,Australian,15.0,1.782,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
RUS,2024,3,Australian,7.0,0.809,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
HAM,2024,3,Australian,11.0,1.045,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
VER,2024,3,Australian,1.0,0.0,14,4767.85,58.0,38.4,20.62,0.0,False,True,False
VER,2024,4,Japanese,1.0,0.0,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
PER,2024,4,Japanese,2.0,0.066,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
SAI,2024,4,Japanese,4.0,0.485,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
LEC,2024,4,Japanese,8.0,0.589,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
NOR,2024,4,Japanese,3.0,0.292,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
ALO,2024,4,Japanese,5.0,0.489,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
RUS,2024,4,Japanese,9.0,0.811,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
PIA,2024,4,Japanese,6.0,0.563,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
HAM,2024,4,Japanese,7.0,0.569,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
TSU,2024,4,Japanese,10.0,1.216,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
HUL,2024,4,Japanese,12.0,1.297,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
STR,2024,4,Japanese,16.0,1.827,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
MAG,2024,4,Japanese,18.0,1.934,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
BOT,2024,4,Japanese,13.0,1.396,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
OCO,2024,4,Japanese,15.0,1.619,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
GAS,2024,4,Japanese,17.0,1.922,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
SAR,2024,4,Japanese,19.0,1.942,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
ZHO,2024,4,Japanese,20.0,1.946,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
RIC,2024,4,Japanese,11.0,1.275,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
ALB,2024,4,Japanese,14.0,1.517,18,5582.53,53.0,37.5,21.69,0.0,False,False,True
VER,2024,5,Chinese,1.0,0.0,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
NOR,2024,5,Chinese,4.0,0.505,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
PER,2024,5,Chinese,2.0,0.322,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
LEC,2024,5,Chinese,6.0,0.629,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
SAI,2024,5,Chinese,7.0,0.637,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
RUS,2024,5,Chinese,8.0,0.773,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
ALO,2024,5,Chinese,3.0,0.488,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
PIA,2024,5,Chinese,5.0,0.613,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
HAM,2024,5,Chinese,18.0,1.913,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
HUL,2024,5,Chinese,9.0,0.944,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
OCO,2024,5,Chinese,13.0,1.563,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
ALB,2024,5,Chinese,14.0,1.581,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
GAS,2024,5,Chinese,15.0,1.803,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
ZHO,2024,5,Chinese,16.0,1.845,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
STR,2024,5,Chinese,11.0,1.178,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
MAG,2024,5,Chinese,17.0,1.856,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
SAR,2024,5,Chinese,20.0,2.698,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
RIC,2024,5,Chinese,12.0,1.274,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
TSU,2024,5,Chinese,19.0,2.086,16,5110.73,56.0,29.79,18.64,0.0,True,True,False
